ASCII;Char;Count
9;;136
23;;1
32;;407934
33;!;170
34;"""";5804
35;#;425
36;$;1333
37;%;380
38;&;536
39;';5816
40;(;5176
41;);5307
42;*;1493
43;+;511
44;,;17546
45;-;32638
46;.;35940
47;/;3681
48;0;13109
49;1;10916
50;2;7894
51;3;4389
52;4;3204
53;5;3951
54;6;2739
55;7;2448
56;8;2505
57;9;2433
58;:;10347
59;";";2884
60;<;2911
61;=;540
62;>;2952
63;?;3503
64;@;173
65;A;7444
66;B;5140
67;C;9283
68;D;7489
69;E;6351
70;F;3365
71;G;4459
72;H;5515
73;I;7631
74;J;4102
75;K;1633
76;L;4476
77;M;8386
78;N;4954
79;O;4378
80;P;6211
81;Q;751
82;R;5986
83;S;9512
84;T;7895
85;U;1934
86;V;2119
87;W;6005
88;X;815
89;Y;722
90;Z;180
91;[;205
92;\;37
93;];210
94;^;8
95;_;2755
96;`;21
97;a;123287
98;b;24227
99;c;50211
100;d;59577
101;e;203824
102;f;32616
103;g;37064
104;h;65217
105;i;116488
106;j;2061
107;k;16047
108;l;75450
109;m;39060
110;n;118108
111;o;137119
112;p;36791
113;q;1774
114;r;101201
115;s;103814
116;t;151376
117;u;49901
118;v;20109
119;w;30974
120;x;4635
121;y;26924
122;z;1417
123;{;62
124;|;16
125;};61
126;~;8
131;ƒ;1
149;•;15233
183;·;23
223;ß;1
226;â;1
229;å;1
230;æ;1
237;í;1
sum;;2376378
